expenditure ID,TIF DISTRICT,AREA,DISTRICT EXPIRATION,PROJECT / EXPENDITURE,YEAR,STATUS,AMOUNT,BALANCE,REF
24,119th/Halsted,South Side,2026-12-31,Neigh. Imp. Prgm. Note Debt Service 2010 ,2010,Committed,-148858,1282029,T-114
25,119th/Halsted,South Side,2026-12-31,"SBIF  (750k auth., 0k remaining) ",2010,Committed,-250000,1032029,T-114
26,119th/Halsted,South Side,2026-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,591676,1623705,T-114
27,119th/Halsted,South Side,2026-12-31,Administrative Costs ,2011,Committed,-11200,1612505,T-114
28,119th/Halsted,South Side,2026-12-31,Preferred Halsted RDA note payment ,2011,Committed,-73000,1539505,T-114
29,119th/Halsted,South Side,2026-12-31,Neigh. Imp. Prgm. Note Debt Service 2011 ,2011,Committed,-191608,1347897,T-114
30,119th/Halsted,South Side,2026-12-31,FY Beginning Cash Balance ,2009,Appropriated,1821762,1821762,T-114
31,119th/Halsted,South Side,2026-12-31,Professional Services Account Increase ,2009,Appropriated,-25000,1796762,T-114
32,119th/Halsted,South Side,2026-12-31,JTA RDA payment ,2009,Appropriated,-96213,1700549,T-114
33,119th/Halsted,South Side,2026-12-31,"SBIF (1M auth., 750k remaining) ",2009,Appropriated,-300000,1400549,T-114
34,119th/Halsted,South Side,2026-12-31,Marshfield Plaza remediation payment ,2009,Appropriated,-1000000,400549,T-114
35,119th/Halsted,South Side,2026-12-31,"Streetlight modifications: 119th, Ada to Ashland to Loomis ",2009,Committed,-24300,376249,T-114
36,119th/Halsted,South Side,2026-12-31,"Sidewalk, curb & gutter: Vincennes, 107th to 108th, west side only ",2009,Requested,-100000,276249,T-114
37,119th/Halsted,South Side,2026-12-31,Port from Western/Rock Island for Blackwelder Park ,2010,Committed,1250000,1526249,T-114
38,119th/Halsted,South Side,2026-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,736580,2262829,T-114
39,119th/Halsted,South Side,2026-12-31,Administrative Costs ,2010,Committed,-14000,2248829,T-114
40,119th/Halsted,South Side,2026-12-31,Neigh. Imp. Prgm. LISC Note Debt Service 2010  -- 1 of 5 remaining ,2010,Committed,-158000,2090829,T-114
41,119th/Halsted,South Side,2026-12-31,Marshfield Plaza Taxable Note  -- B Payment ,2010,Committed,-175000,1915829,T-114
42,119th/Halsted,South Side,2026-12-31,"SBIF (1M auth., 350k remaining) ",2010,Committed,-350000,1565829,T-114
43,119th/Halsted,South Side,2026-12-31,Blackwelder Park improvements ,2010,Committed,-1250000,315829,T-114
44,119th/Halsted,South Side,2026-12-31,Marshfield Plaza Tax-Exempt Note  -- A Payment ,2010,Committed,-1600000,-1284171,T-114
45,119th/Halsted,South Side,2026-12-31,Speed Humps ,2010,Pending,-27500,-1311671,T-114
46,119th/Halsted,South Side,2026-12-31,"Sidewalk Replacement, Lafflin 119th-120th ",2010,Pending,-42236,-1353907,T-114
47,119th/Halsted,South Side,2026-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,736580,-617327,T-114
48,119th/Halsted,South Side,2026-12-31,Administrative Costs ,2011,Committed,-14000,-631327,T-114
49,119th/Halsted,South Side,2026-12-31,Neigh. Imp. Prgm. LISC Note Debt Service 2011  -- 1 of 4 remaining ,2011,Committed,-200750,-832077,T-114
50,119th/Halsted,South Side,2026-12-31,"SBIF (1M auth., 0k remaining) ",2010,Committed,-350000,-1182077,T-114
51,119th/Halsted,South Side,2026-12-31,Marshfield Plaza Taxable Note  -- B Payment ,2011,Committed,-450000,-1632077,T-114
52,119th/Halsted,South Side,2026-12-31,Marshfield Plaza Tax-Exempt Note  -- A Payment ,2011,Committed,-1750000,-3382077,T-114
53,126th/Torrence,South Side,2017-12-21,FY Beginning Cash Balance ,2009,Appropriated,971207,971207,T- 10
54,126th/Torrence,South Side,2017-12-21,Chicago Manufacturing Campus/ Ford Supplier Park Note Payment #3 ,2009,Appropriated,-169973,801234,T- 10
55,126th/Torrence,South Side,2017-12-21,Chicago Manufacturing Campus/ Ford Supplier Park Note Payment #1 ,2009,Appropriated,-374101,427133,T- 10
56,126th/Torrence,South Side,2017-12-21,Chicago Manufacturing Campus/ Ford Supplier Park Note Payment #2 ,2009,Appropriated,-402852,24280,T- 10
57,126th/Torrence,South Side,2017-12-21,Estimated Incremental Property Tax Revenue ,2010,Committed,911778,936058,T- 10
58,126th/Torrence,South Side,2017-12-21,Chicago Manufacturing Campus Payment [3 notes; amout TBD] ,2010,Committed,0,936058,T- 10
59,126th/Torrence,South Side,2017-12-21,Administrative Costs ,2010,Committed,-5341,930717,T- 10
60,126th/Torrence,South Side,2017-12-21,Estimated Incremental Property Tax Revenue ,2011,Committed,911778,1842495,T- 10
61,126th/Torrence,South Side,2017-12-21,Chicago Manufacturing Campus Payment [3 notes; amout TBD] ,2011,Committed,0,1842495,T- 10
62,126th/Torrence,South Side,2017-12-21,Administrative Costs ,2011,Committed,-5341,1837154,T- 10
63,134th & Avenue K,South Side,2032-12-31,FY Beginning Cash Balance ,2009,Appropriated,0,0,T-159
64,134th & Avenue K,South Side,2032-12-31,Adminstration ,2009,Committed,0,0,T-159
65,134th & Avenue K,South Side,2032-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,0,0,T-159
66,134th & Avenue K,South Side,2032-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,0,0,T-159
67,134th & Avenue K,South Side,2032-12-31,FY Beginning Cash Balance ,2009,Appropriated,1710913,1710913,T-159
68,134th & Avenue K,South Side,2032-12-31,"Stamped Concrete: Archer, Wentworth to Princeton ",2009,Appropriated,-16434,1694479,T-159
69,134th & Avenue K,South Side,2032-12-31,Teachers Academy Debt Service 2010 -24th/Michigan share ,2009,Appropriated,-190000,1504479,T-159
70,134th & Avenue K,South Side,2032-12-31,Teachers Academy Debt Service 2009 -24th/Michigan share ,2009,Appropriated,-190000,1314479,T-159
71,134th & Avenue K,South Side,2032-12-31,"Arterial streets ADA ramps design & construction  (min = 18,600 for design) ",2009,Appropriated,-254000,1060479,T-159
72,134th & Avenue K,South Side,2032-12-31,Michigan Avenue Streetscaping  -- Design ,2009,Committed,-200000,860479,T-159
73,134th & Avenue K,South Side,2032-12-31,Port from Chinatown Basin for Red Line Chinatown station ,2009,Pending,600000,1460479,T-159
74,134th & Avenue K,South Side,2032-12-31,Motor Row Zoning Plan ,2009,Pending,-65000,1395479,T-159
75,134th & Avenue K,South Side,2032-12-31,Broadband Initiative ,2009,Pending,-161712,1233767,T-159
76,134th & Avenue K,South Side,2032-12-31,SBIF (250k of 500k auth.) ,2009,Pending,-250000,983767,T-159
77,134th & Avenue K,South Side,2032-12-31,Red Line Chinatown station improvements ,2009,Pending,-600000,383767,T-159
78,134th & Avenue K,South Side,2032-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,494540,878307,T-159
79,134th & Avenue K,South Side,2032-12-31,Administrative Costs ,2010,Committed,-8214,870093,T-159
80,134th & Avenue K,South Side,2032-12-31,Michigan Avenue Streetscaping  -- Construction ,2010,Committed,-300000,570093,T-159
81,134th & Avenue K,South Side,2032-12-31,Port from Chinatown Basin for Wentworth Ave. Connector  -- design ,2010,Pending,500000,1070093,T-159
82,134th & Avenue K,South Side,2032-12-31,Wentworth Ave. Connector  -- design ,2010,Pending,-500000,570093,T-159
83,134th & Avenue K,South Side,2032-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,494540,1064634,T-159
84,134th & Avenue K,South Side,2032-12-31,Administrative Costs ,2011,Committed,-8214,1056420,T-159
85,134th & Avenue K,South Side,2032-12-31,Teachers Academy Debt Service 2011 -24th/Michigan share ,2011,Committed,-190000,866420,T-159
86,26th/King,South Side,2030-12-31,FY Beginning Cash Balance ,2009,Appropriated,25000,25000,T-141
87,26th/King,South Side,2030-12-31,Administrative Costs ,2009,Committed,0,25000,T-141
88,26th/King,South Side,2030-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,1586000,1611000,T-141
89,26th/King,South Side,2030-12-31,Administrative Costs ,2010,Committed,0,1611000,T-141
90,26th/King,South Side,2030-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,1586000,3197000,T-141
91,26th/King,South Side,2030-12-31,Administrative Costs ,2011,Committed,0,3197000,T-141
92,26th/King,South Side,2030-12-31,FY Beginning Cash Balance ,2009,Appropriated,10604838,10604838,T-141
93,26th/King,South Side,2030-12-31,Miracle L.L.C. Note Payment ,2009,Appropriated,-250000,10354838,T-141
94,26th/King,South Side,2030-12-31,11th Ward Yard renovations ,2009,Appropriated,-2500000,7854838,T-141
95,26th/King,South Side,2030-12-31,"Streetscape: Halsted, 36th - 39th ",2009,Appropriated,-3700000,4154838,T-141
96,26th/King,South Side,2030-12-31,Morgan Streetscape Study ,2009,Committed,-50000,4104838,T-141
97,26th/King,South Side,2030-12-31,Halsted Street Lighting ,2009,Committed,-66500,4038338,T-141
98,26th/King,South Side,2030-12-31,Morgan Street Lighting ,2009,Committed,-66500,3971838,T-141
99,26th/King,South Side,2030-12-31,Pre-Acquisition Disposition Services ,2009,Committed,-100000,3871838,T-141
100,26th/King,South Side,2030-12-31,Wendt Furniture 3410 S. Halsted demo ,2009,Committed,-250000,3621838,T-141
101,26th/King,South Side,2030-12-31,SBIF ,2009,Committed,-500000,3121838,T-141
102,26th/King,South Side,2030-12-31,DSS/CDOT ward yard  -- 3812 S. Iron ,2009,Committed,-2500000,621838,T-141
103,26th/King,South Side,2030-12-31,Broadband Initiative ,2009,Pending,-227515,394323,T-141
104,26th/King,South Side,2030-12-31,Property Management Ramova/Clocktown ,2009,Pending,-300000,94323,T-141
105,26th/King,South Side,2030-12-31,Landscaping & Fencing - 3100-04 S. Halsted ,2009,Pending,-500000,-405677,T-141
106,26th/King,South Side,2030-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,3297415,2891738,T-141
107,26th/King,South Side,2030-12-31,Administrative Costs ,2010,Committed,-61000,2830738,T-141
108,26th/King,South Side,2030-12-31,Miracle LLC Note Payment ,2010,Committed,-250000,2580738,T-141
109,26th/King,South Side,2030-12-31,Acre Condos Payment ,2010,Committed,-250000,2330738,T-141
110,26th/King,South Side,2030-12-31,Acquisition - 3558-62 S. Halsted for Ramova Theater Redevelopment ,2010,Pending,-800000,1530738,T-141
111,26th/King,South Side,2030-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,3297415,4828153,T-141
112,26th/King,South Side,2030-12-31,Administrative Costs ,2011,Committed,-61000,4767153,T-141
113,26th/King,South Side,2030-12-31,Miracle LLC Note Payment ,2011,Committed,-250000,4517153,T-141
114,26th/King,South Side,2030-12-31,Acre Condos Payment ,2011,Committed,-250000,4267153,T-141
115,26th/King,South Side,2030-12-31,TIF Works ,2011,Pending,-200000,4067153,T-141
116,26th/King,South Side,2030-12-31,SBIF ,2011,Pending,-500000,3567153,T-141
117,35th/State,South Side,2028-12-31,FY Beginning Cash Balance ,2009,Appropriated,1384077,1384077,T-131
118,35th/State,South Side,2028-12-31,Lighting: Federal to west of State St ,2009,Appropriated,-41000,1343077,T-131
119,35th/State,South Side,2028-12-31,Stateway Gardens / Park Blvd.  -- CHA Note I ,2009,Appropriated,-242936,1100141,T-131
120,35th/State,South Side,2028-12-31,Pre-Acquisition ,2009,Committed,-10000,1090141,T-131
121,35th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,509390,1599531,T-131
122,35th/State,South Side,2028-12-31,Administrative Costs ,2010,Committed,-7100,1592431,T-131
123,35th/State,South Side,2028-12-31,Stateway Gardens / Park Blvd.  -- CHA Note I ,2010,Committed,-250000,1342431,T-131
124,35th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,509390,1851821,T-131
125,35th/State,South Side,2028-12-31,Administrative Costs ,2011,Committed,-7100,1844721,T-131
126,35th/State,South Side,2028-12-31,FY Beginning Cash Balance ,2009,Appropriated,1010106,1010106,T-131
127,35th/State,South Side,2028-12-31,Professional Service - Pre-Acquisition ,2009,Pending,-50000,960106,T-131
128,35th/State,South Side,2028-12-31,Broadband Initiative ,2009,Pending,-106085,854021,T-131
129,35th/State,South Side,2028-12-31,SBIF ,2009,Pending,-350000,504021,T-131
130,35th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,190014,694035,T-131
131,35th/State,South Side,2028-12-31,Administrative Costs ,2010,Committed,-6125,687910,T-131
132,35th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,190014,877924,T-131
133,35th/State,South Side,2028-12-31,Administrative Costs ,2011,Committed,-6125,871799,T-131
134,40th/State,South Side,2028-12-31,FY Beginning Cash Balance ,2009,Appropriated,0,0,T-132
135,40th/State,South Side,2028-12-31,Administrative Costs ,2010,Committed,0,0,T-132
136,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,0,0,T-132
137,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,0,0,T-132
138,40th/State,South Side,2028-12-31,Administrative Costs ,2011,Committed,0,0,T-132
139,40th/State,South Side,2028-12-31,FY Beginning Cash Balance ,2009,Appropriated,487148,487148,T-132
140,40th/State,South Side,2028-12-31,Paul G. Stewart Apts. Assoc. Annual Payment ,2009,Appropriated,-68540,418608,T-132
141,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,143273,561881,T-132
142,40th/State,South Side,2028-12-31,Administrative Costs ,2010,Committed,-3500,558381,T-132
143,40th/State,South Side,2028-12-31,Paul G. Stewart Apts. Assoc. Annual Payment ,2010,Committed,-75619,482762,T-132
144,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,143273,626036,T-132
145,40th/State,South Side,2028-12-31,Administrative Costs ,2011,Committed,-3500,622536,T-132
146,40th/State,South Side,2028-12-31,Paul G. Stewart Apts. Assoc. Annual Payment ,2011,Committed,-75619,546917,T-132
147,40th/State,South Side,2028-12-31,FY Beginning Cash Balance ,2009,Appropriated,5262893,5262893,T-132
148,40th/State,South Side,2028-12-31,Demolition account increase ,2009,Appropriated,-4500,5258393,T-132
149,40th/State,South Side,2028-12-31,Job Training program  -- MOWD ,2009,Appropriated,-7000,5251393,T-132
150,40th/State,South Side,2028-12-31,Pre-acquisition Account Increase ,2009,Appropriated,-75000,5176393,T-132
151,40th/State,South Side,2028-12-31,Hearts United Phase III LP RDA - Annual Payment ,2009,Appropriated,-77626,5098767,T-132
152,40th/State,South Side,2028-12-31,Hearts United Phase II LP RDA - Annual Payment ,2009,Appropriated,-340132,4758635,T-132
153,40th/State,South Side,2028-12-31,Hearts United I LP RDA Annual Payment ,2009,Appropriated,-382421,4376215,T-132
154,40th/State,South Side,2028-12-31,Port to Madden/Wells for acquisition ,2009,Committed,-327000,4049215,T-132
155,40th/State,South Side,2028-12-31,Port to Madden/Wells for acquisition ,2009,Committed,-700000,3349215,T-132
156,40th/State,South Side,2028-12-31,Broadband Initiative ,2009,Pending,-772618,2576597,T-132
157,40th/State,South Side,2028-12-31,Shops & Lofts at 47th ,2009,Pending,-2384472,192125,T-132
158,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,1901871,2093996,T-132
159,40th/State,South Side,2028-12-31,Administrative Costs ,2010,Committed,-36200,2057796,T-132
160,40th/State,South Side,2028-12-31,Hearts United Phase III LP - Annual Payment ,2010,Committed,-80335,1977461,T-132
161,40th/State,South Side,2028-12-31,Hearts United Phase II LP - Annual Payment ,2010,Committed,-332545,1644916,T-132
162,40th/State,South Side,2028-12-31,Hearts United I LP RDA Annual Payment ,2010,Committed,-514999,1129917,T-132
163,40th/State,South Side,2028-12-31,Shops & Lofts at 47th ,2010,Pending,-2384472,-1254555,T-132
164,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,1901871,647316,T-132
165,40th/State,South Side,2028-12-31,Administrative Costs ,2011,Committed,-36200,611116,T-132
166,40th/State,South Side,2028-12-31,Hearts United Phase III LP - Annual Payment ,2011,Committed,-80335,530781,T-132
167,40th/State,South Side,2028-12-31,Hearts United Phase II LP - Annual Payment ,2011,Committed,-332545,198236,T-132
168,40th/State,South Side,2028-12-31,Shops & Lofts at 47th ,2011,Pending,-2384472,-2186236,T-132
169,40th/State,South Side,2028-12-31,FY Beginning Cash Balance ,2009,Appropriated,159488,159488,T-132
170,40th/State,South Side,2028-12-31,Wheatland Tube 2009 Note Payment ,2009,Appropriated,-142258,17230,T-132
171,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,142505,159735,T-132
172,40th/State,South Side,2028-12-31,Administrative Costs ,2010,Committed,-2633,157102,T-132
173,40th/State,South Side,2028-12-31,Wheatland Tube 2009 Note Payment ,2010,Committed,-14200,142902,T-132
174,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,142505,285407,T-132
175,40th/State,South Side,2028-12-31,Administrative Costs ,2011,Committed,-2633,282774,T-132
176,40th/State,South Side,2028-12-31,FY Beginning Cash Balance ,2009,Appropriated,7419170,7419170,T-132
177,40th/State,South Side,2028-12-31,Professional Services Account - TIF Consultant Fees ,2009,Appropriated,-25000,7394170,T-132
178,40th/State,South Side,2028-12-31,Bishop Plaza LLC RDA note payment ,2009,Appropriated,-48021,7346149,T-132
179,40th/State,South Side,2028-12-31,Cardinal LP aka Eagle LP RDA payment ,2009,Appropriated,-110000,7236149,T-132
180,40th/State,South Side,2028-12-31,Street resurfacing @ 1400 W. 46th St.  -- cancelled ,2009,Appropriated,-291485,6944664,T-132
181,40th/State,South Side,2028-12-31,"SBIF (500k auth., 0 remaining) ",2009,Appropriated,-500000,6444664,T-132
182,40th/State,South Side,2028-12-31,Budget Liquidation: Street resurfacing @ 1400 W. 46th St. ,2009,Committed,291485,6736149,T-132
183,40th/State,South Side,2028-12-31,"Street Reconstruction: 48th St, Racine to Morgan; construction ",2009,Committed,-1060000,5676149,T-132
184,40th/State,South Side,2028-12-31,"Street Reconstruction: 45th St, Ashland to Loomis; construction ",2009,Committed,-1060000,4616149,T-132
185,40th/State,South Side,2028-12-31,"WPA Street Reconstruction: 45th, Ashland to McDowell ",2009,Committed,-1200000,3416149,T-132
186,40th/State,South Side,2028-12-31,CPS ADA projects  -- Seward ,2009,Committed,-1500000,1916149,T-132
187,40th/State,South Side,2028-12-31,Acquisition for Back of the Yards Library ,2009,Committed,-1800000,116149,T-132
188,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,2179710,2295859,T-132
189,40th/State,South Side,2028-12-31,Administrative Costs ,2010,Committed,-41500,2254359,T-132
190,40th/State,South Side,2028-12-31,Bishop Plaza LLC RDA note payment  -- est. ,2010,Committed,-48021,2206338,T-132
191,40th/State,South Side,2028-12-31,Pre-Acquisition Disposition Services ,2010,Committed,-50000,2156338,T-132
192,40th/State,South Side,2028-12-31,Cardinal LP aka Eagle LP RDA payment ,2010,Committed,-110000,2046338,T-132
193,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,2179710,4226048,T-132
194,40th/State,South Side,2028-12-31,Administrative Costs ,2011,Committed,-41500,4184548,T-132
195,40th/State,South Side,2028-12-31,Bishop Plaza LLC RDA note payment  -- est. ,2011,Committed,-48021,4136527,T-132
196,40th/State,South Side,2028-12-31,Cardinal LP aka Eagle LP RDA payment ,2011,Committed,-110000,4026527,T-132
197,40th/State,South Side,2028-12-31,Streetscaping - Ashland  -- 4000 - 4300 ,2011,Pending,-2688000,1338527,T-132
198,40th/State,South Side,2028-12-31,FY Beginning Cash Balance ,2009,Appropriated,8271297,8271297,T-132
199,40th/State,South Side,2028-12-31,Demolition Account  -- DOB ,2009,Appropriated,-25000,8246297,T-132
200,40th/State,South Side,2028-12-31,Lighting: 4300-4500 Princeton ,2009,Appropriated,-54000,8192297,T-132
201,40th/State,South Side,2028-12-31,Viaduct repairs @ 47th & Normal ,2009,Appropriated,-55400,8136897,T-132
202,40th/State,South Side,2028-12-31,Ported funds from Stockyard Annex for Taylor Lauridsen Park ,2009,Committed,3950064,12086961,T-132
203,40th/State,South Side,2028-12-31,Lighting  -- add'l: 47th & Normal ,2009,Committed,-55400,12031561,T-132
204,40th/State,South Side,2028-12-31,Taylor Lauridsen environmental ,2009,Committed,-80000,11951561,T-132
205,40th/State,South Side,2028-12-31,SBIF ,2009,Committed,-500000,11451561,T-132
206,40th/State,South Side,2028-12-31,CPD-IGA: Fuller Park  -- payment 1 of 3 ,2009,Committed,-1000000,10451561,T-132
207,40th/State,South Side,2028-12-31,Taylor Lauridsen Park  -- replacement of state match ,2009,Committed,-1800000,8651561,T-132
208,40th/State,South Side,2028-12-31,Taylor Lauridsen Park ,2009,Committed,-3950064,4701497,T-132
209,40th/State,South Side,2028-12-31,54th/Morgan Housing ,2009,Pending,-100000,4601497,T-132
210,40th/State,South Side,2028-12-31,"Lighting - 41st-43rd St, BOE recommends 39th-43rd St.  -- Stckyrds Annex TIF also ",2009,Pending,-160000,4441497,T-132
211,40th/State,South Side,2028-12-31,Neighborhood Improvement Fund ,2009,Pending,-1000000,3441497,T-132
212,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,2245614,5687111,T-132
213,40th/State,South Side,2028-12-31,Administrative Costs ,2010,Committed,-42700,5644411,T-132
214,40th/State,South Side,2028-12-31,CPD-IGA: Fuller Park  -- payment 2 of 3 ,2010,Committed,-1000000,4644411,T-132
215,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,2245614,6890025,T-132
216,40th/State,South Side,2028-12-31,Administrative Costs ,2011,Committed,-42700,6847325,T-132
217,40th/State,South Side,2028-12-31,CPD-IGA: Fuller Park  -- payment 2 of 3 ,2011,Committed,-1000000,5847325,T-132
218,40th/State,South Side,2028-12-31,FY Beginning Cash Balance ,2009,Appropriated,19624017,19624017,T-132
219,40th/State,South Side,2028-12-31,Port to Pershing/King for Paul G. Stewart ,2009,Appropriated,-1500000,18124017,T-132
220,40th/State,South Side,2028-12-31,Clean Slate ,2009,Committed,-80000,18044017,T-132
221,40th/State,South Side,2028-12-31,Pre-Acquisition Account  -- R.E. ,2009,Committed,-150000,17894017,T-132
222,40th/State,South Side,2028-12-31,CPS ADA projects  -- Mollison ,2009,Committed,-750000,17144017,T-132
223,40th/State,South Side,2028-12-31,Acquisition of Harold Washington Cultrual Center ,2009,Committed,-2300000,14844017,T-132
224,40th/State,South Side,2028-12-31,Cuisine of the Diaspora RDA ,2009,Committed,-4000000,10844017,T-132
225,40th/State,South Side,2028-12-31,Small Business Improvement Fund ,2009,Pending,-500000,10344017,T-132
226,40th/State,South Side,2028-12-31,Port to Pershing/King for NIF ,2009,Pending,-500000,9844017,T-132
227,40th/State,South Side,2028-12-31,Broadband Initiative ,2009,Pending,-834250,9009767,T-132
228,40th/State,South Side,2028-12-31,Neighborhood Improvement Fund ,2009,Pending,-1000000,8009767,T-132
229,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,5060700,13070467,T-132
230,40th/State,South Side,2028-12-31,Administrative Costs ,2010,Committed,-96300,12974167,T-132
231,40th/State,South Side,2028-12-31,Port to Pershing/King for Paul G. Stewart ,2010,Committed,-352200,12621967,T-132
232,40th/State,South Side,2028-12-31,Cuisine of the Diaspora RDA ,2010,Committed,-1000000,11621967,T-132
233,40th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,5060700,16682666,T-132
234,40th/State,South Side,2028-12-31,Administrative Costs ,2011,Committed,-96300,16586366,T-132
235,40th/State,South Side,2028-12-31,Port to Pershing/King for Paul G. Stewart ,2011,Committed,-352500,16233866,T-132
236,40th/State,South Side,2028-12-31,Cuisine of the Diaspora RDA ,2011,Committed,-1000000,15233866,T-132
237,47th/State,South Side,2028-12-31,FY Beginning Cash Balance ,2009,Appropriated,3728741,3728741,T-136
238,47th/State,South Side,2028-12-31,TRC Senior Village ,2009,Appropriated,-543750,3184991,T-136
239,47th/State,South Side,2028-12-31,Pre-Acquisition ,2009,Committed,-50000,3134991,T-136
240,47th/State,South Side,2028-12-31,Clean Slate ,2009,Committed,-53400,3081591,T-136
241,47th/State,South Side,2028-12-31,"Sidwalks / ADA ramps: 5400 block of MLK, west side ",2009,Committed,-89527,2992064,T-136
242,47th/State,South Side,2028-12-31,Broadband Initiative ,2009,Pending,-783710,2208355,T-136
243,47th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2010,Committed,1022525,3230879,T-136
244,47th/State,South Side,2028-12-31,47th/State Retail ,2010,Committed,0,3230879,T-136
245,47th/State,South Side,2028-12-31,Administrative Costs ,2010,Committed,-13400,3217479,T-136
246,47th/State,South Side,2028-12-31,TRC Senior Village ,2010,Committed,-200000,3017479,T-136
247,47th/State,South Side,2028-12-31,Estimated Incremental Property Tax Revenue ,2011,Committed,1022525,4040004,T-136
248,47th/State,South Side,2028-12-31,47th/State Retail ,2011,Committed,0,4040004,T-136
